source,target,weight,source_name,target_name
01crEa9G3pNpXZ5m7wuHOk,2SXWLfGzpgnCRt0kl7pgYe,1,Red,Dean Collinson
01d1bVcxyzJGqXuWUACq4r,08lP0qPw5ymCTSfJpCpZ6n,1,Jesús M. Nieves Cortez,Kennet A Rivera
01d1bVcxyzJGqXuWUACq4r,0QhqJL8ORjb5VSJn4h60yF,1,Jesús M. Nieves Cortez,Héctor Enrique Ramos Carbia
01d1bVcxyzJGqXuWUACq4r,0TjRd6hmDyWrJlPWMGZ73E,1,Jesús M. Nieves Cortez,Juno Watt
01d1bVcxyzJGqXuWUACq4r,0hNxZNanC5TkjuI8W4kQlu,1,Jesús M. Nieves Cortez,Michael A. Torres Monge
01d1bVcxyzJGqXuWUACq4r,2UWfJCAvrRMaB7zoion2vu,1,Jesús M. Nieves Cortez,José Dávila
01d1bVcxyzJGqXuWUACq4r,2eHfORzWTqz18PTNZOyodr,1,Jesús M. Nieves Cortez,Joshua Omar Medina
01d1bVcxyzJGqXuWUACq4r,2sNoW120HSUzuGJQ99lUkM,1,Jesús M. Nieves Cortez,Egbert Rosa
01d1bVcxyzJGqXuWUACq4r,3T9TNE6i0R1SPYMFoPWIQi,1,Jesús M. Nieves Cortez,Davis G Juarbe
01d1bVcxyzJGqXuWUACq4r,4nUOanVoirf5Vtw8xonKIu,1,Jesús M. Nieves Cortez,Ramón Burgos
01d1bVcxyzJGqXuWUACq4r,6CQzLyJtUtAKtFebipY8o4,1,Jesús M. Nieves Cortez,Alberto Rafael Feliciano Figueroa
01d1bVcxyzJGqXuWUACq4r,6bWa1uNSUlvZufSTia5Lpe,1,Jesús M. Nieves Cortez,Angel Javier Aviles
01ennxHcPlSmPNAviTQnh0,4IjOLPtyYhzs21u6gVdHjq,1,Victor Marcos Severino Bicudo,GUILHERME RODRIGUES DE SOUZA
01fHZAunJfjbCKuPLCWLe0,1ADw4kUajsJo0rxd5SCDjv,1,Fredrik Borch Olsen,Erik Gustaf Smaaland
